"Country","Network Name","Price"
"Guinea","Telecel-GIN","0.0502"
"Guinea","MTN-GIN","0.0502"
"Guinea","Cellcom-GIN","0.0502"
"Ivory Coast","Moov-CIV","0.0542"
"Ivory Coast","Orange-CIV","0.0542"
"Ivory Coast","KoZ-CIV","0.0542"
"Ivory Coast","MTN-CIV","0.0542"
"Ivory Coast","GreenN-CIV","0.0542"
"Burkina Faso","Telmob-BFA","0.0548"
"Burkina Faso","Airtel-BFA","0.0548"
"Burkina Faso","Telecel-BFA","0.0548"
"Niger","SahelCom-NER","0.0718"
"Niger","Airtel-NER","0.0718"
"Niger","Moov-NER","0.0718"
"Niger","Orange-NER","0.0718"
"Togo","Togo Cell-TGO","0.0719"
"Togo","Moov-TGO","0.0719"
"Benin","BT-Mobile-BEN","0.0650"
"Benin","Moov-BEN","0.0650"
"Benin","MTN-BEN","0.0650"
"Benin","BBCOM-BEN","0.0650"
"Benin","GloMobile-BEN","0.0650"
"Mauritius","Orange-MUS","0.0468"
"Mauritius","MTML-MUS","0.0468"
"Mauritius","Emtel-MUS","0.0468"
"Liberia","Lonestar-LBR","0.0639"
"Liberia","Comium-LBR","0.0639"
"Liberia","Cellcom-LBR","0.0639"
"Sierra Leone","Airtel-SLE","0.0456"
"Sierra Leone","Comium-SLE","0.0456"
"Sierra Leone","Africell-SLE","0.0456"
"Sierra Leone","SierraTel-SLE","0.0456"
"Sierra Leone","Mobitel-SLE","0.0456"
"Sierra Leone","Cellcom-SLE","0.0456"
"Ghana","MTN-GHA","0.0479"
"Ghana","Vodafone-GHA","0.0479"
"Ghana","AirtelTigo-GHA","0.0479"
"Ghana","Globacom-GHA","0.0479"
"Nigeria","MultiLinks-NGA","0.0958"
"Nigeria","Airtel-NGA","0.0958"
"Nigeria","Visafone-NGA","0.0958"
"Nigeria","MTN-NGA","0.0958"
"Nigeria","Mtel-NGA","0.0958"
"Nigeria","Glo Mobile-NGA","0.0958"
"Nigeria","Etisalat-NGA","0.0958"
"Chad","Airtel-TCD","0.0627"
"Chad","Tigo (Millicom)-TCD","0.0627"
"Central African Republic","Etisalat-CAF","0.0342"
"Central African Republic","Telecel-CAF","0.0342"
"Central African Republic","Orange-CAF","0.0342"
"Central African Republic","Nationlink-CAF","0.0342"
"Cameroon","MTN-CMR","0.0325"
"Cameroon","Orange-CMR","0.0325"
"Cameroon","Nexttel-CMR","0.0325"
"Cape Verde Islands","CVMovel-CPV","0.0593"
"Cape Verde Islands","T+-CPV","0.0593"
"Sao Tome and Principe","CSTmovel-STP","0.0776"
"Equatorial Guinea","Orange GQ-GNQ","0.0559"
"Equatorial Guinea","HiTs-GE-GNQ","0.0559"
"Gabon","Airtel-GAB","0.0821"
"Congo","Airtel-COG","0.0331"
"Congo","Azur-COG","0.0331"
"Congo","Warid-COG","0.0331"
"Congo","MTN-COG","0.0331"
"DR of Congo","Vodacom-COD","0.0422"
"DR of Congo","Airtel-COD","0.0422"
"DR of Congo","Orange-COD","0.0422"
"DR of Congo","Tigo-COD","0.0422"
"DR of Congo","Africell-COD","0.0422"
"Angola","UNITEL-AGO","0.0491"
"Guinea-Bissau","Guinetel-GNB","0.0878"
"Guinea-Bissau","MTN Areeba-GNB","0.0878"
"Guinea-Bissau","Orange-GNB","0.0878"
"Seychelles","Cable & Wireless-SYC","0.0627"
"Seychelles","Smartcom-SYC","0.0627"
"Seychelles","Airtel-SYC","0.0627"
"Sudan","Zain-SDN","0.0770"
"Sudan","MTN-SDN","0.0770"
"Sudan","Sudatel-SDN","0.0770"
"Rwanda","MTN-RWA","0.0342"
"Rwanda","Tigo-RWA","0.0342"
"Rwanda","Airtel-RWA","0.0342"
"Ethiopia","Ethio Mobile-ETH","0.0502"
"Somalia","Telesom-SOM","0.1027"
"Somalia","Somafone-SOM","0.1027"
"Somalia","NationLink-SOM","0.1027"
"Somalia","Golis-SOM","0.1027"
"Somalia","Hormuud-SOM","0.1027"
"Somalia","Telcom Mobile-SOM","0.1027"
"Djibouti","Evatis-DJI","0.0941"
"Kenya","Safaricom-KEN","0.0878"
"Kenya","Airtel-KEN","0.0878"
"Kenya","Orange-KEN","0.0878"
"Tanzania","Tigo-TZA","0.0605"
"Tanzania","Zantel-TZA","0.0605"
"Tanzania","Vodacom-TZA","0.0605"
"Tanzania","Airtel-TZA","0.0605"
"Tanzania","Sasatel-TZA","0.0605"
"Tanzania","TTCL Mobile-TZA","0.0605"
"Tanzania","BOL-TZA","0.0605"
"Tanzania","HiTS-TZA","0.0605"
"Tanzania","SmileCom-TZA","0.0605"
"Tanzania","MyCell-TZA","0.0605"
"Uganda","Airtel-UGA","0.0753"
"Uganda","Afrimax-UGA","0.0753"
"Uganda","MTN-UGA","0.0753"
"Uganda","Uganda Telecom-UGA","0.0753"
"Uganda","Africell-UGA","0.0753"
"Uganda","Suretelecom-UGA","0.0753"
"Uganda","Warid-UGA","0.0753"
"Burundi","Econet-BDI","0.0559"
"Burundi","Smart Mobile-BDI","0.0559"
"Burundi","Leo-BDI","0.0559"
"Mozambique","mCel-MOZ","0.0308"
"Mozambique","Movitel-MOZ","0.0308"
"Mozambique","Vodacom-MOZ","0.0308"
"Zambia","Airtel-ZMB","0.0570"
"Zambia","MTN-ZMB","0.0570"
"Zambia","Zamtel-ZMB","0.0570"
"Madagascar","Airtel-MDG","0.0582"
"Madagascar","Orange-MDG","0.0582"
"Reunion Island","Orange-REU","0.1255"
"Reunion Island","Outremer-REU","0.1255"
"Reunion Island","SFR-REU","0.1255"
"Zimbabwe","Net*One-ZWE","0.0222"
"Zimbabwe","Telecel-ZWE","0.0222"
"Zimbabwe","Econet-ZWE","0.0222"
"Namibia","MTC-NAM","0.0399"
"Namibia","TN Mobile-NAM","0.0399"
"Malawi","TNM-MWI","0.0605"
"Malawi","Airtel-MWI","0.0605"
"Lesotho","Vodacom-LSO","0.0821"
"Lesotho","Econet Ezi-Cel-LSO","0.0821"
"Botswana","MASCOM-BWA","0.0325"
"Botswana","Orange-BWA","0.0325"
"Botswana","BTC Mobile-BWA","0.0325"
"Swaziland","SPTC-SWZ","0.0856"
"Swaziland","Swazi MTN-SWZ","0.0856"
"Comoros","HURI-COM","0.0297"
"South Africa","Vodacom-ZAF","0.0217"
"South Africa","Telkom (8.ta)-ZAF","0.0217"
"South Africa","Cell C-ZAF","0.0217"
"South Africa","MTN-ZAF","0.0217"
"Eritrea","EriTel-ERI","0.0354"
"South Sudan","MTN-SSD","0.0570"
"South Sudan","Gemtel-SSD","0.0570"
"South Sudan","Vivacell-SSD","0.0570"
"South Sudan","Zain-SSD","0.0570"
"Belize","DigiCel-BLZ","0.0125"
"Guatemala","Claro-GTM","0.0445"
"Guatemala","Tigo-GTM","0.0445"
"Guatemala","Movistar-GTM","0.0445"
"El Salvador","Claro-SLV","0.0436"
"El Salvador","Digicel-SLV","0.0436"
"El Salvador","Tigo-SLV","0.0436"
"El Salvador","Movistar-SLV","0.0436"
"El Salvador","RED-SLV","0.0436"
"Honduras","Claro-HND","0.0502"
"Honduras","Tigo-HND","0.0502"
"Honduras","Hondutel-HND","0.0502"
"Honduras","Digicel-HND","0.0502"
"Nicaragua","Claro-NIC","0.0513"
"Nicaragua","Movistar-NIC","0.0513"
"Costa Rica","Kolbi ICE-CRI","0.0376"
"Costa Rica","Claro-CRI","0.0376"
"Costa Rica","Movistar-CRI","0.0376"
"Panama","Cable & Wireless-PAN","0.0548"
"Panama","Movistar-PAN","0.0548"
"Panama","Claro-PAN","0.0548"
"Panama","Digicel-PAN","0.0548"
"Peru","Other-PER","0.0308"
"Peru","Movistar-PER","0.0308"
"Peru","Entel-PER","0.0308"
"Peru","Claro-PER","0.0308"
"Peru","Viettel-PER","0.0308"
"Argentina","Nextel-ARG","0.0548"
"Argentina","Movistar-ARG","0.0548"
"Argentina","Claro-ARG","0.0548"
"Argentina","Personal-ARG","0.0548"
"Brazil","Other-BRA","0.0205"
"Brazil","Nextel-BRA","0.0205"
"Brazil","TIM-BRA","0.0205"
"Brazil","Claro-BRA","0.0205"
"Brazil","Vivo-BRA","0.0205"
"Brazil","Sercomtel-BRA","0.0205"
